0	12267
1	57069
2	17522
3	41205
4	42468
5	53494
6	35906
7	53959
8	18816
9	36076
10	1972
11	6206
12	61504
13	28498
14	7378
15	34661
16	7965
17	694
18	4607
19	52857
20	53281
21	24322
22	44990
23	27956
24	2976
25	20665
26	37002
27	57565
28	56682
29	62840
30	24007
31	3413
32	54374
33	41530
34	44619
35	31306
36	29488
37	14989
38	19730
39	48304
40	51065
41	21702
42	54511
43	47034
44	50200
45	61889
46	16159
47	58166
48	62583
49	20766
50	45487
51	50328
52	45089
53	24942
54	12749
55	48065
56	45607
57	49751
58	40095
59	36753
60	47056
61	64102
62	40166
63	35894
64	40096
65	19249
66	1664
67	4048
68	34238
69	21394
70	52353
71	19768
72	43096
73	41328
74	1266
75	27761
76	37681
77	17425
78	20391
79	34729
80	38191
81	342
82	19521
83	17744
84	25284
85	32270
86	274
87	5355
88	16486
89	40369
90	42108
91	63542
92	38935
93	16739
94	33900
95	13496
96	35988
97	35564
98	17544
99	4691
100	56959
101	4361
102	24459
103	34519
104	45689
105	25725
106	62280
107	17835
108	43150
109	17135
110	52564
111	15805
112	17478
113	6549
114	33550
115	42762
116	38820
117	33824
118	48118
119	55306
120	8657
121	24690
122	53312
123	47592
124	41429
125	21676
126	61088
127	11882
128	57240
129	13097
130	16573
131	48663
132	17458
133	41032
134	17647
135	63148
136	1221
137	14391
138	15447
139	44371
140	31527
141	2475
142	60176
143	49005
144	9024
145	28190
146	26231
147	47844
148	62014
149	8813
150	37614
151	5135
152	33504
153	25390
154	52728
155	9397
156	47066
157	48280
158	21279
159	38771
160	61377
161	37852
162	21898
163	13300
164	13348
165	39545
166	10912
167	14569
168	53937
169	26359
170	58940
171	19928
172	28834
173	53581
174	3397
175	37858
176	16235
177	29628
178	20167
179	12714
180	38442
181	57781
182	17849
183	6410
184	17636
185	5041
186	15807
187	64702
188	53322
189	37087
190	37937
191	49163
192	9403
193	59836
194	62463
195	22752
196	33845
197	7839
198	37321
199	22246
200	34198
201	30726
202	42174
203	63032
204	18771
205	45571
206	35355
207	35006
208	9664
209	55522
210	47720
211	48106
212	47767
213	34
214	54516
215	65403
216	5075
217	4787
218	64570
219	58397
220	41874
221	36971
222	42025
223	51278
224	31271
225	38952
226	8494
227	65117
228	46792
229	45815
230	21827
231	15454
232	11005
233	64002
234	12951
235	29776
236	44037
237	48306
238	64783
239	53701
240	38292
241	46967
242	36271
243	20523
244	47001
245	25251
246	20391
247	52077
248	30039
249	19425
250	44938
251	6377
252	56396
253	21427
254	57655
255	22132
256	60380
257	613
258	21713
259	41636
260	46429
261	43540
262	57090
263	57434
264	42006
265	4505
266	21675
267	20508
268	52811
269	20922
270	8673
271	25567
272	2353
273	44945
274	46091
275	49355
276	4660
277	946
278	35896
279	34699
280	20371
281	15298
282	41077
283	11231
284	36726
285	33196
286	33363
287	31570
288	33810
289	55076
290	7670
291	14703
292	33081
293	64760
294	6601
295	9551
296	3730
297	28276
298	30059
299	56541
300	49198
301	38733
302	16573
303	51552
304	18142
305	62664
306	35371
307	22802
308	63610
309	5731
310	57502
311	18445
312	21029
313	33043
314	29676
315	57755
316	703
317	63040
318	23789
319	34513
320	52580
321	31459
322	49216
323	20125
324	30684
325	55818
326	29677
327	34414
328	18558
329	59736
330	25419
331	2221
332	32933
333	41992
334	53773
335	51075
336	39120
337	23608
338	8342
339	37194
340	29339
341	308
342	55639
343	50368
344	33351
345	19780
346	42588
347	34054
348	17284
349	841
350	3032
351	4328
352	32301
353	52248
354	24454
355	62985
356	42530
357	54131
358	31863
359	61089
360	48331
361	57282
362	63310
363	15729
364	33739
365	51547
366	1268
367	7323
368	9619
369	9610
370	44518
371	38958
372	9918
373	34621
374	23790
375	43269
376	54401
377	842
378	11788
379	6149
380	1684
381	14820
382	10478
383	33985
384	1532
385	34932
386	31434
387	44063
388	23527
389	63297
390	39616
391	6322
392	55043
393	37390
394	22051
395	23246
396	23401
397	23320
398	30570
399	33020
400	32930
401	9552
402	6442
403	42849
404	44173
405	30232
406	20582
407	33039
408	31075
409	32370
410	39188
411	32759
412	47190
413	49666
414	1208
415	48723
416	19062
417	32642
418	27250
419	42589
420	30403
421	1330
422	48912
423	19910
424	38720
425	5427
426	43157
427	62121
428	28747
429	8191
430	29605
431	61678
432	17743
433	36047
434	38991
435	61916
436	743
437	59573
438	29419
439	31818
440	26408
441	3072
442	64577
443	8062
444	52738
445	249
446	56785
447	6265
448	32891
449	18499
450	48854
451	63294
452	19829
453	32230
454	17669
455	58549
456	37658
457	60826
458	55134
459	869
460	3481
461	19203
462	62547
463	21224
464	55250
465	36002
466	17604
467	55994
468	30040
469	47024
470	22276
471	56448
472	50096
473	21318
474	64510
475	37298
476	21567
477	55760
478	43563
479	54459
480	8723
481	26882
482	52217
483	28553
484	59112
485	4350
486	21566
487	31234
488	65176
489	11165
490	32104
491	3121
492	30368
493	29115
494	24345
495	20083
496	65118
497	41950
498	10541
499	29622
500	23438
501	32817
502	20534
503	7998
504	54135
505	19508
506	45296
507	10167
508	9732
509	23324
510	64626
511	18456
512	50206
513	51307
514	47009
515	43782
516	55658
517	3039
518	9481
519	55298
520	14204
521	41585
522	58420
523	44573
524	5164
525	17229
526	64656
527	4746
528	59179
529	9661
530	34368
531	17081
532	42478
533	54902
534	25079
535	31078
536	8875
537	4840
538	41245
539	18607
540	28164
541	40335
